transaction_count,avg_amount,total_amount,fraud_count,transaction_count_zscore,avg_amount_zscore,total_amount_zscore,anomaly_type
191,294.3317277486911,56217.36,144,1.084139130775046,5.089644873326824,13.96947917426001,fraude_détectée
171,354.9300584795322,60693.04,127,0.6167206797480956,6.3283130194380925,15.201749093878561,fraude_détectée
237,353.3986919831224,83755.49,125,2.159201568137032,6.297010921240865,21.551435266193568,fraude_détectée
126,513.8974603174603,64751.08,119,-0.43497083506254275,9.577707096006222,16.319031970359646,fraude_détectée
252,210.17607142857145,52964.37,114,2.5097654064072445,3.369450116447705,13.073847286855203,fraude_détectée
265,211.18886792452832,55965.05,110,2.8135873995747627,3.3901523163747473,13.900011736145812,fraude_détectée
101,581.0606930693069,58687.13,89,-1.0192438988462307,10.950565984959558,14.649470433549393,fraude_détectée
100,513.8887,51388.87,89,-1.0426148213975783,9.577528029585462,12.640071579396443,fraude_détectée
112,411.6082142857143,46100.12,87,-0.7621637507814081,7.486850314620032,11.183942558246002,fraude_détectée
92,410.8207608695652,37795.51,87,-1.2295822018083584,7.470754269541451,8.897469643032355,fraude_détectée
113,375.77566371681417,42462.65,82,-0.7387928282300605,6.754410353843546,10.182453429328186,fraude_détectée
98,514.9257142857143,50462.72,80,-1.0893566665002734,9.598725256427933,12.385078642891886,fraude_détectée
91,432.3179120879121,39340.93,79,-1.252953124359706,7.910169615231019,9.322963552153853,fraude_détectée
115,300.20756521739133,34523.87,73,-0.6920509831273655,5.209750701596808,7.996702930528148,fraude_détectée
108,361.1398148148148,39003.1,67,-0.8556474409867981,6.455244360200464,9.229950256532911,fraude_détectée
167,212.48844311377246,35485.57,60,0.5232369895427056,3.416716453884462,8.261483697181966,fraude_détectée
106,272.46896226415095,28881.71,57,-0.9023892860894932,4.642756141162157,6.443271038687131,fraude_détectée
126,216.31960317460317,27256.27,54,-0.43497083506254275,3.495027784787006,5.995745563643165,fraude_détectée
89,430.0102247191011,38270.909999999996,54,-1.299694969462401,7.862999028179274,9.02835950106212,fraude_détectée
84,314.28190476190474,26399.68,46,-1.4165495822191385,5.497439089397073,5.759904285793531,fraude_détectée
67,300.7622388059701,20151.07,45,-1.8138552655920464,5.221088580006585,4.039501097355647,fraude_détectée
205,174.516,35775.78,44,1.4113320464939114,2.640535738214782,8.341385980940522,fraude_détectée
68,278.4269117647059,18933.03,43,-1.790484343040699,4.764540391214461,3.704143329844971,fraude_détectée
147,153.33013605442176,22539.53,41,0.05581853851575515,2.2074833009488968,4.697105620514613,fraude_détectée
90,322.6951111111111,29042.559999999998,41,-1.2763240469110535,5.669410339854624,6.48755718438357,fraude_détectée
46,517.9102173913043,23823.87,40,-2.3046446391703443,9.659730384527657,5.050717484759351,fraude_détectée
172,142.7856976744186,24559.14,39,0.6400916022994432,1.991948321974704,5.253156243517334,fraude_détectée
165,188.85066666666668,31160.36,37,0.4764951444400105,2.933545376780392,7.070642042051717,fraude_détectée
177,113.8057627118644,20143.62,31,0.7569462150561808,1.3995801514068826,4.037449920573311,fraude_détectée
139,234.12035971223023,32542.73,29,-0.13114884189502501,3.8588864890436683,7.4512440888430636,fraude_détectée
74,177.57256756756757,13140.37,29,-1.650258807732614,2.70301390942381,2.1092749137433757,fraude_détectée
56,274.6535714285714,15380.6,29,-2.070935413656869,4.687410931996077,2.7260679020774536,fraude_détectée
69,198.63347826086957,13705.710000000001,26,-1.7671134204893515,3.133512223309052,2.264927569062155,fraude_détectée
148,106.14695945945945,15709.75,25,0.07918946106710267,1.2430293766301905,2.8166913702526677,fraude_détectée
54,378.2474074074074,20425.36,25,-2.117677258759564,6.804934355709015,4.115020195292088,fraude_détectée
165,82.50115151515152,13612.69,24,0.4764951444400105,0.759694130651667,2.2393167684859474,fraude_détectée
68,208.86573529411763,14202.869999999999,24,-1.790484343040699,3.3426660184226993,2.4018085152507904,fraude_détectée
113,103.75902654867257,11724.77,23,-0.7387928282300605,1.19421852002788,1.71952379252559,fraude_détectée
88,227.14454545454547,19988.72,23,-1.3230658920137486,3.7162964406054972,3.9948019630453135,fraude_détectée
108,90.50972222222221,9775.05,22,-0.8556474409867981,0.9233943730690636,1.1827156856728478,fraude_détectée
44,206.2902272727273,9076.77,21,-2.351386484273039,3.2900210081117702,0.9904612261334615,fraude_détectée
